"Group","Intention","Freq","N","SurveyName","Country","StartYear"
"Married, Does Not Want Child within 2 Years","Unsure About Use",0.121922756308076,4241,"BJIR71FL.DTA","Benin",2017
"Married, Does Not Want Child within 2 Years","Use Later",0.362959062075693,4241,"BJIR71FL.DTA","Benin",2017
"Married, Wants Child within 2 Years","Does Not Intend",0.590074185968,1434,"BJIR71FL.DTA","Benin",2017
"Married, Wants Child within 2 Years","Unsure About Use",0.106371852333226,1434,"BJIR71FL.DTA","Benin",2017
"Married, Wants Child within 2 Years","Use Later",0.303553961698774,1434,"BJIR71FL.DTA","Benin",2017
"Not Married, Not Sexually Active","Does Not Intend",0.438312419676311,2732,"BJIR71FL.DTA","Benin",2017
"Not Married, Not Sexually Active","Unsure About Use",0.246872737237576,2732,"BJIR71FL.DTA","Benin",2017
"Not Married, Not Sexually Active","Use Later",0.314814843086113,2732,"BJIR71FL.DTA","Benin",2017
"Not Married, Sexually Active","Does Not Intend",0.423470964314508,631,"BJIR71FL.DTA","Benin",2017
"Not Married, Sexually Active","Unsure About Use",0.132879249520748,631,"BJIR71FL.DTA","Benin",2017
"Not Married, Sexually Active","Use Later",0.443649786164745,631,"BJIR71FL.DTA","Benin",2017
"All Never Users","Does Not Intend",0.36422645613928,12948,"BFIR62FL.DTA","Burkina Faso",2010
"All Never Users","Unsure About Use",0.038496907080317,12948,"BFIR62FL.DTA","Burkina Faso",2010
"All Never Users","Use Later",0.592602871147871,12948,"BFIR62FL.DTA","Burkina Faso",2010
"All Never Users","Missing",0.00467376563253165,12948,"BFIR62FL.DTA","Burkina Faso",2010
"Infecund, Menopausal","Does Not Intend",0.738744371160626,2533,"BFIR62FL.DTA","Burkina Faso",2010
"Infecund, Menopausal","Unsure About Use",0.0294034944098152,2533,"BFIR62FL.DTA","Burkina Faso",2010
"Infecund, Menopausal","Use Later",0.222883662642074,2533,"BFIR62FL.DTA","Burkina Faso",2010
"Infecund, Menopausal","Missing",0.00896847178748493,2533,"BFIR62FL.DTA","Burkina Faso",2010
"Married, Does Not Want Child within 2 Years","Does Not Intend",0.278026495603102,6396,"BFIR62FL.DTA","Burkina Faso",2010
"Married, Does Not Want Child within 2 Years","Unsure About Use",0.0370728195499592,6396,"BFIR62FL.DTA","Burkina Faso",2010
