"Time_Since_Use","Freq","SurveyName","Country","StartYear"
"Under a Year",0.277144597403816,"ZAIR71FL.DTA","South Africa",2016
"yes, used in calendar",0.0755659893910479,"ZAIR71FL.DTA","South Africa",2016
"1 Year",0.0797682345019648,"TJIR71FL.DTA","Tajikistan",2017
"2 Year",0.0894636688950011,"TJIR71FL.DTA","Tajikistan",2017
"3 Year",0.0780863546071997,"TJIR71FL.DTA","Tajikistan",2017
"4 Year",0.05885650511327,"TJIR71FL.DTA","Tajikistan",2017
"5+ Years",0.490646951750467,"TJIR71FL.DTA","Tajikistan",2017
"Under a Year",0.203178285132097,"TJIR71FL.DTA","Tajikistan",2017
"1 Year",0.104522350075039,"TZIR7BFL.DTA","Tanzania",2015
"2 Year",0.107121328327938,"TZIR7BFL.DTA","Tanzania",2015
"3 Year",0.108824364573024,"TZIR7BFL.DTA","Tanzania",2015
"4 Year",0.0833502074849608,"TZIR7BFL.DTA","Tanzania",2015
"5+ Years",0.298406240712176,"TZIR7BFL.DTA","Tanzania",2015
"Under a Year",0.297775508826862,"TZIR7BFL.DTA","Tanzania",2015
"1 Year",0.134228668829056,"TLIR71FL.DTA","Timor-Leste",2016
"2 Year",0.11225200184954,"TLIR71FL.DTA","Timor-Leste",2016
"3 Year",0.113783101501057,"TLIR71FL.DTA","Timor-Leste",2016
"4 Year",0.0557564590023451,"TLIR71FL.DTA","Timor-Leste",2016
"5+ Years",0.347212588756027,"TLIR71FL.DTA","Timor-Leste",2016
"Under a Year",0.236767180061976,"TLIR71FL.DTA","Timor-Leste",2016
"1 Year",0.107440569837363,"UGIR7BFL.DTA","Uganda",2016
"2 Year",0.118818379566157,"UGIR7BFL.DTA","Uganda",2016
"3 Year",0.119906754773617,"UGIR7BFL.DTA","Uganda",2016
"4 Year",0.102838525058477,"UGIR7BFL.DTA","Uganda",2016
"5+ Years",0.327341687481809,"UGIR7BFL.DTA","Uganda",2016
"Under a Year",0.223654083282578,"UGIR7BFL.DTA","Uganda",2016
"1 Year",0.119325317276173,"ZMIR71FL.DTA","Zambia",2018
"2 Year",0.101391525337464,"ZMIR71FL.DTA","Zambia",2018
"3 Year",0.0893302487621543,"ZMIR71FL.DTA","Zambia",2018
"4 Year",0.0733517905032385,"ZMIR71FL.DTA","Zambia",2018
"5+ Years",0.307721091773144,"ZMIR71FL.DTA","Zambia",2018
"Under a Year",0.308880026347827,"ZMIR71FL.DTA","Zambia",2018
"1 Year",0.110636291826784,"ZMIR61FL.DTA","Zambia",2013
"2 Year",0.122434528041967,"ZMIR61FL.DTA","Zambia",2013
"3 Year",0.10183793554547,"ZMIR61FL.DTA","Zambia",2013
"4 Year",0.108034258141506,"ZMIR61FL.DTA","Zambia",2013
"5+ Years",0.301514239013088,"ZMIR61FL.DTA","Zambia",2013
"Under a Year",0.255542747431185,"ZMIR61FL.DTA","Zambia",2013
"1 Year",0.100204309146485,"ZWIR71FL.DTA","Zimbabwe",2015
"2 Year",0.0792550012853048,"ZWIR71FL.DTA","Zimbabwe",2015
"3 Year",0.0773134806183688,"ZWIR71FL.DTA","Zimbabwe",2015
"4 Year",0.0713408300838673,"ZWIR71FL.DTA","Zimbabwe",2015
"5+ Years",0.253069710094586,"ZWIR71FL.DTA","Zimbabwe",2015
"Under a Year",0.418816668771388,"ZWIR71FL.DTA","Zimbabwe",2015
