"Var1","Var2","Freq","SurveyName","Country","StartYear"
"40-49","Former User",0.0250841176032678,"PKIR71FL.DTA","Pakistan",2017
"15-24","Never Used",0.154924770633521,"PKIR71FL.DTA","Pakistan",2017
"25-39","Never Used",0.285560636052143,"PKIR71FL.DTA","Pakistan",2017
"40-49","Never Used",0.10874877239304,"PKIR71FL.DTA","Pakistan",2017
"15-24","Current User",0.0515473864756916,"PHIR61FL.DTA","Philippines",2013
"25-39","Current User",0.195759236894898,"PHIR61FL.DTA","Philippines",2013
"40-49","Current User",0.0985874596747131,"PHIR61FL.DTA","Philippines",2013
"15-24","Former User",0.0207908081764747,"PHIR61FL.DTA","Philippines",2013
"25-39","Former User",0.0670831704810498,"PHIR61FL.DTA","Philippines",2013
"40-49","Former User",0.0573370040632339,"PHIR61FL.DTA","Philippines",2013
"15-24","Never Used",0.300669978511407,"PHIR61FL.DTA","Philippines",2013
"25-39","Never Used",0.132204191182631,"PHIR61FL.DTA","Philippines",2013
"40-49","Never Used",0.0760207645399015,"PHIR61FL.DTA","Philippines",2013
"15-24","Current User",0.0397066915403451,"PHIR81FL.DTA","Philippines",2022
"25-39","Current User",0.19134723742088,"PHIR81FL.DTA","Philippines",2022
"40-49","Current User",0.109672190255255,"PHIR81FL.DTA","Philippines",2022
"15-24","Former User",0.0130114131110856,"PHIR81FL.DTA","Philippines",2022
"25-39","Former User",0.0478015063290058,"PHIR81FL.DTA","Philippines",2022
"40-49","Former User",0.0260354462932415,"PHIR81FL.DTA","Philippines",2022
"15-24","Never Used",0.314181018601364,"PHIR81FL.DTA","Philippines",2022
"25-39","Never Used",0.158080659736832,"PHIR81FL.DTA","Philippines",2022
"40-49","Never Used",0.10016383671199,"PHIR81FL.DTA","Philippines",2022
"15-24","Current User",0.042828480702454,"RWIR61FL.DTA","Rwanda",2010
"25-39","Current User",0.19183074021633,"RWIR61FL.DTA","Rwanda",2010
"40-49","Current User",0.0515487937556284,"RWIR61FL.DTA","Rwanda",2010
"15-24","Former User",0.0122957777819791,"RWIR61FL.DTA","Rwanda",2010
"25-39","Former User",0.0585209630628925,"RWIR61FL.DTA","Rwanda",2010
"40-49","Former User",0.0182051607465177,"RWIR61FL.DTA","Rwanda",2010
"15-24","Never Used",0.356577642503524,"RWIR61FL.DTA","Rwanda",2010
"25-39","Never Used",0.171155995151738,"RWIR61FL.DTA","Rwanda",2010
"40-49","Never Used",0.097036446078936,"RWIR61FL.DTA","Rwanda",2010
"15-24","Current User",0.043333520753994,"RWIR70FL.DTA","Rwanda",2014
"25-39","Current User",0.203979705399801,"RWIR70FL.DTA","Rwanda",2014
"40-49","Current User",0.0615074306599312,"RWIR70FL.DTA","Rwanda",2014
"15-24","Former User",0.01848024842436,"RWIR70FL.DTA","Rwanda",2014
"25-39","Former User",0.103428057665515,"RWIR70FL.DTA","Rwanda",2014
"40-49","Former User",0.0313121350135462,"RWIR70FL.DTA","Rwanda",2014
"15-24","Never Used",0.325318159376713,"RWIR70FL.DTA","Rwanda",2014
"25-39","Never Used",0.139065137612167,"RWIR70FL.DTA","Rwanda",2014
"40-49","Never Used",0.0735756050939721,"RWIR70FL.DTA","Rwanda",2014
"15-24","Current User",0.0576452522136772,"RWIR81FL.DTA","Rwanda",2019
"25-39","Current User",0.247413914566163,"RWIR81FL.DTA","Rwanda",2019
"40-49","Current User",0.0809245432755732,"RWIR81FL.DTA","Rwanda",2019
"15-24","Former User",0.0241610293539999,"RWIR81FL.DTA","Rwanda",2019
"25-39","Former User",0.0845675895847529,"RWIR81FL.DTA","Rwanda",2019
"40-49","Former User",0.0417287455163819,"RWIR81FL.DTA","Rwanda",2019
"15-24","Never Used",0.305780481330635,"RWIR81FL.DTA","Rwanda",2019
"25-39","Never Used",0.0959856643529651,"RWIR81FL.DTA","Rwanda",2019
"40-49","Never Used",0.0617927798058518,"RWIR81FL.DTA","Rwanda",2019
"15-24","Current User",0.0181452847816955,"SNIR61FL.DTA","Senegal",2010
"25-39","Current User",0.0575758508354194,"SNIR61FL.DTA","Senegal",2010
"40-49","Current User",0.0201587709470285,"SNIR61FL.DTA","Senegal",2010
"15-24","Former User",0.0211428835159539,"SNIR61FL.DTA","Senegal",2010
"25-39","Former User",0.0723937174033987,"SNIR61FL.DTA","Senegal",2010
"40-49","Former User",0.0269485132896468,"SNIR61FL.DTA","Senegal",2010
"15-24","Never Used",0.384504294026926,"SNIR61FL.DTA","Senegal",2010
"25-39","Never Used",0.297841140702513,"SNIR61FL.DTA","Senegal",2010
"40-49","Never Used",0.101289544497418,"SNIR61FL.DTA","Senegal",2010
"15-24","Current User",0.0230215049809886,"SNIR6DFL.DTA","Senegal",2012
"25-39","Current User",0.0798332976445301,"SNIR6DFL.DTA","Senegal",2012
"40-49","Current User",0.023246750236837,"SNIR6DFL.DTA","Senegal",2012
"15-24","Former User",0.0181172788760263,"SNIR6DFL.DTA","Senegal",2012
"25-39","Former User",0.0708642218947676,"SNIR6DFL.DTA","Senegal",2012
"40-49","Former User",0.0318151060870518,"SNIR6DFL.DTA","Senegal",2012
"15-24","Never Used",0.398435840573772,"SNIR6DFL.DTA","Senegal",2012
"25-39","Never Used",0.265930748591585,"SNIR6DFL.DTA","Senegal",2012
"40-49","Never Used",0.0887352511144416,"SNIR6DFL.DTA","Senegal",2012
"15-24","Current User",0.0269372200325783,"SNIR70FL.DTA","Senegal",2014
"25-39","Current User",0.104378640326475,"SNIR70FL.DTA","Senegal",2014
"40-49","Current User",0.0289818402347489,"SNIR70FL.DTA","Senegal",2014
"15-24","Former User",0.0156853783126209,"SNIR70FL.DTA","Senegal",2014
"25-39","Former User",0.0948348924131374,"SNIR70FL.DTA","Senegal",2014
"40-49","Former User",0.0359064552129326,"SNIR70FL.DTA","Senegal",2014
"15-24","Never Used",0.367588465200806,"SNIR70FL.DTA","Senegal",2014
"25-39","Never Used",0.235150899475185,"SNIR70FL.DTA","Senegal",2014
"40-49","Never Used",0.0905362087915161,"SNIR70FL.DTA","Senegal",2014
"15-24","Current User",0.0300786881146767,"SNIR7HFL.DTA","Senegal",2015
"25-39","Current User",0.105432544935778,"SNIR7HFL.DTA","Senegal",2015
"40-49","Current User",0.0331954545056809,"SNIR7HFL.DTA","Senegal",2015
"15-24","Former User",0.0189090702650142,"SNIR7HFL.DTA","Senegal",2015
"25-39","Former User",0.0827938465841746,"SNIR7HFL.DTA","Senegal",2015
"40-49","Former User",0.028453187984873,"SNIR7HFL.DTA","Senegal",2015
