Group,Decider,Freq,SurveyName,Country,StartYear
Current User,"Mainly Husband, Partner",0.124474895,NPIR60FL.DTA,Nepal,2011
Current User,Joint Decision,0.693438008,NPIR60FL.DTA,Nepal,2011
Current User,Other,0.001728597,NPIR60FL.DTA,Nepal,2011
Current User,Mainly Respondent,0.433596337,NIIR61FL.DTA,Niger,2012
Current User,"Mainly Husband, Partner",0.109776249,NIIR61FL.DTA,Niger,2012
Current User,Joint Decision,0.308966618,NIIR61FL.DTA,Niger,2012
Current User,Other,0.112248468,NIIR61FL.DTA,Niger,2012
Current User,Missing,0.035412329,NIIR61FL.DTA,Niger,2012
Current User,Mainly Respondent,0.232288992,NGIR7AFL.DTA,Nigeria,2018
Current User,"Mainly Husband, Partner",0.101454477,NGIR7AFL.DTA,Nigeria,2018
Current User,Joint Decision,0.663410531,NGIR7AFL.DTA,Nigeria,2018
Current User,Other,0.002846,NGIR7AFL.DTA,Nigeria,2018
Never User,Mainly Respondent,0.37960975,NGIR7AFL.DTA,Nigeria,2018
Never User,"Mainly Husband, Partner",0.206049905,NGIR7AFL.DTA,Nigeria,2018
Never User,Joint Decision,0.398422805,NGIR7AFL.DTA,Nigeria,2018
Never User,Other,0.01591754,NGIR7AFL.DTA,Nigeria,2018
Former User,Mainly Respondent,0.372500358,NGIR7AFL.DTA,Nigeria,2018
Former User,"Mainly Husband, Partner",0.109927441,NGIR7AFL.DTA,Nigeria,2018
Former User,Joint Decision,0.487867067,NGIR7AFL.DTA,Nigeria,2018
Former User,Other,0.029705134,NGIR7AFL.DTA,Nigeria,2018
Current User,Mainly Respondent,0.202155517,NGIR6AFL.DTA,Nigeria,2013
Current User,"Mainly Husband, Partner",0.147989165,NGIR6AFL.DTA,Nigeria,2013
Current User,Joint Decision,0.615129414,NGIR6AFL.DTA,Nigeria,2013
Current User,Other,0.001100692,NGIR6AFL.DTA,Nigeria,2013
Current User,Missing,0.033625212,NGIR6AFL.DTA,Nigeria,2013
Current User,Mainly Respondent,0.070296926,PKIR71FL.DTA,Pakistan,2017
