Var1,Freq,SurveyName,Country,StartYear
5+ Years,0.081824888,LBIR7AFL.DTA,Liberia,2019
Under a Year,0.390651025,LBIR7AFL.DTA,Liberia,2019
1 Year,0.209127733,LBIR6AFL.DTA,Liberia,2013
2 Year,0.117045771,LBIR6AFL.DTA,Liberia,2013
3 Year,0.075910336,LBIR6AFL.DTA,Liberia,2013
4 Year,0.064703096,LBIR6AFL.DTA,Liberia,2013
5+ Years,0.058541228,LBIR6AFL.DTA,Liberia,2013
Under a Year,0.474671836,LBIR6AFL.DTA,Liberia,2013
1 Year,0.211981729,MDIR81FL.DTA,Madagascar,2021
2 Year,0.150122448,MDIR81FL.DTA,Madagascar,2021
3 Year,0.082565674,MDIR81FL.DTA,Madagascar,2021
4 Year,0.052509047,MDIR81FL.DTA,Madagascar,2021
5+ Years,0.168315007,MDIR81FL.DTA,Madagascar,2021
Under a Year,0.334506095,MDIR81FL.DTA,Madagascar,2021
1 Year,0.229513731,MWIR7AFL.DTA,Malawi,2015
2 Year,0.128055242,MWIR7AFL.DTA,Malawi,2015
3 Year,0.088253824,MWIR7AFL.DTA,Malawi,2015
4 Year,0.059137979,MWIR7AFL.DTA,Malawi,2015
5+ Years,0.164428313,MWIR7AFL.DTA,Malawi,2015
Under a Year,0.33061091,MWIR7AFL.DTA,Malawi,2015
1 Year,0.16075167,MVIR71FL.DTA,Maldives,2016
2 Year,0.135793598,MVIR71FL.DTA,Maldives,2016
3 Year,0.093929573,MVIR71FL.DTA,Maldives,2016
4 Year,0.047073706,MVIR71FL.DTA,Maldives,2016
5+ Years,0.340696079,MVIR71FL.DTA,Maldives,2016
Under a Year,0.221755374,MVIR71FL.DTA,Maldives,2016
1 Year,0.283765363,MLIR7HFL.DTA,Mali,2018
2 Year,0.117331169,MLIR7HFL.DTA,Mali,2018
3 Year,0.07746104,MLIR7HFL.DTA,Mali,2018
4 Year,0.050591371,MLIR7HFL.DTA,Mali,2018
5+ Years,0.067887383,MLIR7HFL.DTA,Mali,2018
Under a Year,0.402963674,MLIR7HFL.DTA,Mali,2018
1 Year,0.252550132,MLIR6AFL.DTA,Mali,2012
2 Year,0.142066189,MLIR6AFL.DTA,Mali,2012
3 Year,0.061643401,MLIR6AFL.DTA,Mali,2012
4 Year,0.030059155,MLIR6AFL.DTA,Mali,2012
