Time_Since_Use,Freq,SurveyName,Country,StartYear
5+ Years,0.439752567,SLIR7AFL.DTA,Sierra Leone,2019
Under a Year,0.239568989,SLIR7AFL.DTA,Sierra Leone,2019
1 Year,0.100307163,SLIR61FL.DTA,Sierra Leone,2013
2 Year,0.130788947,SLIR61FL.DTA,Sierra Leone,2013
3 Year,0.103569699,SLIR61FL.DTA,Sierra Leone,2013
4 Year,0.103759184,SLIR61FL.DTA,Sierra Leone,2013
5+ Years,0.380648413,SLIR61FL.DTA,Sierra Leone,2013
Under a Year,0.180926594,SLIR61FL.DTA,Sierra Leone,2013
1 Year,0.065496114,ZAIR71FL.DTA,South Africa,2016
2 Year,0.059422021,ZAIR71FL.DTA,South Africa,2016
3 Year,0.043023712,ZAIR71FL.DTA,South Africa,2016
4 Year,0.049370034,ZAIR71FL.DTA,South Africa,2016
5+ Years,0.429977532,ZAIR71FL.DTA,South Africa,2016
Under a Year,0.277144597,ZAIR71FL.DTA,South Africa,2016
"yes, used in calendar",0.075565989,ZAIR71FL.DTA,South Africa,2016
1 Year,0.079768235,TJIR71FL.DTA,Tajikistan,2017
2 Year,0.089463669,TJIR71FL.DTA,Tajikistan,2017
3 Year,0.078086355,TJIR71FL.DTA,Tajikistan,2017
4 Year,0.058856505,TJIR71FL.DTA,Tajikistan,2017
5+ Years,0.490646952,TJIR71FL.DTA,Tajikistan,2017
Under a Year,0.203178285,TJIR71FL.DTA,Tajikistan,2017
1 Year,0.10452235,TZIR7BFL.DTA,Tanzania,2015
2 Year,0.107121328,TZIR7BFL.DTA,Tanzania,2015
3 Year,0.108824365,TZIR7BFL.DTA,Tanzania,2015
4 Year,0.083350207,TZIR7BFL.DTA,Tanzania,2015
5+ Years,0.298406241,TZIR7BFL.DTA,Tanzania,2015
Under a Year,0.297775509,TZIR7BFL.DTA,Tanzania,2015
1 Year,0.134228669,TLIR71FL.DTA,Timor-Leste,2016
2 Year,0.112252002,TLIR71FL.DTA,Timor-Leste,2016
3 Year,0.113783102,TLIR71FL.DTA,Timor-Leste,2016
4 Year,0.055756459,TLIR71FL.DTA,Timor-Leste,2016
5+ Years,0.347212589,TLIR71FL.DTA,Timor-Leste,2016
Under a Year,0.23676718,TLIR71FL.DTA,Timor-Leste,2016
1 Year,0.10744057,UGIR7BFL.DTA,Uganda,2016
2 Year,0.11881838,UGIR7BFL.DTA,Uganda,2016
3 Year,0.119906755,UGIR7BFL.DTA,Uganda,2016
4 Year,0.102838525,UGIR7BFL.DTA,Uganda,2016
5+ Years,0.327341687,UGIR7BFL.DTA,Uganda,2016
Under a Year,0.223654083,UGIR7BFL.DTA,Uganda,2016
1 Year,0.119325317,ZMIR71FL.DTA,Zambia,2018
2 Year,0.101391525,ZMIR71FL.DTA,Zambia,2018
3 Year,0.089330249,ZMIR71FL.DTA,Zambia,2018
4 Year,0.073351791,ZMIR71FL.DTA,Zambia,2018
5+ Years,0.307721092,ZMIR71FL.DTA,Zambia,2018
Under a Year,0.308880026,ZMIR71FL.DTA,Zambia,2018
1 Year,0.110636292,ZMIR61FL.DTA,Zambia,2013
2 Year,0.122434528,ZMIR61FL.DTA,Zambia,2013
3 Year,0.101837936,ZMIR61FL.DTA,Zambia,2013
4 Year,0.108034258,ZMIR61FL.DTA,Zambia,2013
5+ Years,0.301514239,ZMIR61FL.DTA,Zambia,2013
Under a Year,0.255542747,ZMIR61FL.DTA,Zambia,2013
1 Year,0.100204309,ZWIR71FL.DTA,Zimbabwe,2015
2 Year,0.079255001,ZWIR71FL.DTA,Zimbabwe,2015
3 Year,0.077313481,ZWIR71FL.DTA,Zimbabwe,2015
4 Year,0.07134083,ZWIR71FL.DTA,Zimbabwe,2015
5+ Years,0.25306971,ZWIR71FL.DTA,Zimbabwe,2015
Under a Year,0.418816669,ZWIR71FL.DTA,Zimbabwe,2015
1 Year,,CMIR61FL.DTA,Cameroon,2011
2 Year,,CMIR61FL.DTA,Cameroon,2011
3 Year,,CMIR61FL.DTA,Cameroon,2011
4 Year,,CMIR61FL.DTA,Cameroon,2011
5+ Years,,CMIR61FL.DTA,Cameroon,2011
Under a Year,,CMIR61FL.DTA,Cameroon,2011
1 Year,,TDIR71FL.DTA,Chad,2014
2 Year,,TDIR71FL.DTA,Chad,2014
3 Year,,TDIR71FL.DTA,Chad,2014
4 Year,,TDIR71FL.DTA,Chad,2014
5+ Years,,TDIR71FL.DTA,Chad,2014
Under a Year,,TDIR71FL.DTA,Chad,2014
1 Year,,CGIR60FL.DTA,Congo,2011
2 Year,,CGIR60FL.DTA,Congo,2011
